time,vehicles
10030,0
10036,0
10042,1
10048,0
10054,0
10060,0
10066,0
10072,0
10078,0
10084,0
10100,0
10106,1
10112,2
10118,0
10124,0
10130,1
10136,0
10142,1
10148,0
10154,1
10160,1
10166,1
10172,2
10178,0
10184,0
10200,0
10206,0
10212,0
10218,0
10224,0
10230,1
10236,1
10242,0
10248,0
10254,0
10260,0
10266,0
10272,0
10278,0
10284,0
10300,0
10306,0
10312,0
10318,0
10324,0
10330,0
10336,0
10342,0
10348,0
10354,2
10360,0
10366,0
10372,0
10378,0
10384,0
10400,0
10406,0
10412,0
10418,0
10424,0
10430,0
10436,0
10442,0
10448,0
10454,1
10460,0
10466,0
10472,0
10478,0
10484,0
10500,0
10506,0
10512,0
10518,0
10524,0
10530,0
10536,0
10542,0
10548,0
10554,0
10560,0
10566,0
10572,0
10578,0
10584,0
10600,0
10606,0
10612,0
10618,0
10624,0
10630,0
10636,0
10642,0
10648,0
10654,0
10660,0
10666,0
10672,0
10678,0
10684,0
10700,0
10706,0
10712,0
10718,0
10724,0
10730,0
10736,0
10742,0
10748,0
10754,0
10760,0
10766,0
10772,0
10778,0
10784,0
10800,0
10806,0
10812,0
10818,0
10824,0
10830,0
10836,0
10842,0
10848,0
10854,0
10860,0
10866,0
10872,0
10878,0
10884,0
10900,0
10906,0
10912,0
10918,0
10924,0
10930,1
10936,1
10942,0
10948,0
10954,0
10960,0
10966,0
10972,0
10978,0
10984,0
11000,0
11006,1
11012,0
11018,0
11024,0
11030,0
11036,0
11042,1
11048,2
11054,0
11060,0
11066,0
11072,0
11078,0
11084,0
11100,1
11106,0
11112,0
11118,0
11124,0
11130,0
11136,0
11142,1
11148,1
11154,0
11160,0
11166,0
11172,0
11178,0
11184,2
11200,0
11206,0
11212,0
11218,0
11224,1
11230,1
11236,1
11242,0
11248,0
11254,0
11260,0
11266,0
11272,0
11278,0
11284,0
11300,0
11306,1
11312,0
11318,0
11324,0
11330,0
11336,1
11342,0
11348,2
11354,3
11360,3
11366,1
11372,0
11378,1
11384,0
11400,0
11406,0
11412,0
11418,0
11424,0
11430,0
11436,0
11442,0
11448,0
11454,0
11460,0
11466,0
11472,0
11478,0
11484,0
11500,0
11506,0
11512,0
11518,0
11524,0
11530,0
11536,0
11542,0
11548,0
11554,0
11560,0
11566,0
11572,0
11578,0
11584,0
11600,0
11606,0
11612,0
11618,0
11624,0
11630,0
11636,0
11642,0
11648,0
11654,0
11660,0
11666,0
11672,0
11678,0
11684,0
11700,0
11706,0
11712,0
11718,0
11724,0
11730,0
11736,0
11742,0
11748,0
11754,0
11760,0
11766,0
11772,0
11778,0
11784,0
11800,0
11806,0
11812,0
11818,0
11824,0
11830,0
11836,0
11842,0
11848,0
11854,1
11860,0
11866,1
11872,0
11878,0
11884,0
11900,0
11906,0
11912,0
11918,0
11924,0
11930,0
11936,0
11942,0
11948,0
11954,0
11960,0
11966,0
11972,0
11978,0
11984,0
12000,0
12006,0
12012,0
12018,0
12024,0
12030,0
12036,0
12042,0
12048,0
12054,0
12060,0
12066,0
12072,0
12078,0
12084,0
12100,0
12106,0
12112,0
12118,0
12124,0
12130,0
12136,0
12142,0
12148,0
12154,0
12160,0
12166,0
12172,0
12178,0
12184,0
12200,0
12206,0
12212,0
12218,0
12224,0
12230,0
12236,0
12242,0
12248,0
12254,0
12260,0
12266,0
12272,0
12278,0
12284,0
12300,0
12306,0
12312,0
12318,0
12324,0
12330,0
12336,0
12342,0
12348,0
12354,0
12360,0
12366,0
12372,0
12378,0
12384,0
12400,0
12406,0
12412,1
12418,1
12424,0
12430,0
12436,0
12442,0
12448,0
12454,0
12460,0
12466,0
12472,0
12478,0
12484,0
12500,0
12506,0
12512,0
12518,0
12524,0
12530,0
12536,0
12542,0
12548,0
12554,0
12560,0
12566,0
12572,0
12578,0
12584,0
12600,0
12606,0
12612,0
12618,0
12624,0
12630,0
12636,0
12642,0
12648,0
12654,1
12660,0
12666,0
12672,0
12678,0
12684,0
12700,0
12706,0
12712,0
12718,0
12724,0
12730,0
12736,0
12742,0
12748,0
12754,0
12760,0
12766,0
12772,0
12778,0
12784,0
12800,0
12806,0
12812,0
12818,1
12824,0
12830,1
12836,0
12842,0
12848,1
12854,0
12860,1
12866,0
12872,0
12878,0
12884,0
12900,0
12906,0
12912,1
12918,0
12924,0
12930,0
12936,0
12942,0
12948,0
12954,0
12960,0
12966,0
12972,0
12978,0
12984,0
13000,0
13006,0
13012,0
13018,0
13024,0
13030,0
13036,0
13042,0
13048,0
13054,0
13060,0
13066,0
13072,0
13078,0
13084,0
13100,0
13106,0
13112,0
13118,0
13124,0
13130,0
13136,0
13142,1
13148,0
13154,0
13160,0
13166,0
13172,0
13178,0
13184,0
13200,0
13206,0
13212,1
13218,1
13224,0
13230,0
13236,0
13242,0
13248,1
13254,0
13260,0
13266,0
13272,0
13278,0
13284,0
13300,0
13306,0
13312,0
13318,0
13324,0
13330,0
13336,0
13342,0
13348,0
13354,0
13360,0
13366,0
13372,0
13378,0
13384,1
13400,0
13406,0
13412,0
13418,0
13424,1
13430,1
13436,0
13442,0
13448,0
13454,0
13460,1
13466,1
13472,3
13478,2
13484,2
13500,4
13506,1
13512,0
13518,0
13524,0
13530,0
13536,0
13542,0
13548,0
13554,0
13560,0
13566,0
13572,0
13578,0
13584,0
13600,0
13606,0
13612,0
13618,0
13624,0
13630,0
13636,0
13642,1
13648,1
13654,0
13660,0
13666,0
13672,0
13678,0
13684,0
13700,0
13706,0
13712,0
13718,0
13724,0
13730,0
13736,0
13742,0
13748,0
13754,0
13760,0
13766,0
13772,0
13778,0
13784,0
13800,0
13806,0
13812,0
13818,0
13824,0
13830,0
13836,0
13842,0
13848,0
13854,0
13860,0
13866,0
13872,0
13878,0
13884,0
13900,0
13906,0
13912,0
13918,0
13924,0
13930,0
13936,0
13942,0
13948,0
13954,0
13960,0
13966,2
13972,1
13978,0
13984,0
14000,0
14006,0
14012,2
14018,0
14024,0
14030,0
14036,0
14042,0
14048,0
14054,0
14060,0
14066,0
14072,0
14078,2
14084,0
14100,0
14106,0
14112,0
14118,0
14124,0
14130,0
14136,0
14142,0
14148,0
14154,0
14160,1
14166,0
14172,0
14178,1
14184,1
14200,0
14206,0
14212,0
14218,0
14224,0
14230,0
14236,0
14242,0
14248,1
14254,0
14260,0
14266,0
14272,0
14278,0
14284,0
14300,0
14306,0
14312,0
14318,0
14324,0
14330,0
14336,1
14342,1
14348,0
14354,0
14360,0
14366,0
14372,0
14378,0
14384,0
14400,0
14406,0
14412,0
14418,0
14424,0
14430,0
14436,0
14442,0
14448,1
14454,0
14460,0
14466,0
14472,0
14478,0
14484,0
14500,0
14506,0
14512,0
14518,0
14524,0
14530,0
14536,0
14542,0
14548,0
14554,0
14560,0
14566,0
14572,1
14578,0
14584,0
14600,0
14606,0
14612,0
14618,0
14624,0
14630,0
14636,0
14642,0
14648,0
14654,0
14660,0
14666,0
14672,0
14678,0
14684,0
14700,0
14706,0
14712,0
14718,0
14724,0
14730,0
14736,0
14742,0
14748,0
14754,0
14760,0
14766,0
14772,0
14778,0
14784,0
14800,0
14806,0
14812,0
14818,0
14824,1
14830,0
14836,0
14842,0
14848,1
14854,0
14860,0
14866,0
14872,0
14878,0
14884,0
14900,0
14906,0
14912,0
14918,0
14924,0
14930,0
14936,0
14942,0
14948,0
14954,0
14960,0
14966,0
14972,0
14978,0
14984,0
15000,0
15006,0
15012,0
15018,0
15024,0
15030,0
15036,0
15042,0
15048,0
15054,0
15060,0
15066,0
15072,0
15078,0
15084,0
15100,0
15106,0
15112,0
15118,0
15124,0
15130,0
15136,0
15142,0
15148,0
15154,0
15160,0
15166,0
15172,0
